Gridsearch ran for 4h20min

best accuracies:
Length 14 ; Optimizer adamax ; Epochs 20 ; Dropout 0.3 ; Accuracy 97.40740835666656
Length 20 ; Optimizer adamax ; Epochs 20 ; Dropout 0.1 ; Accuracy 96.85185253620148
Length 20 ; Optimizer adamax ; Epochs 20 ; Dropout 0.2 ; Accuracy 97.40740776062012
Length 20 ; Optimizer adamax ; Epochs 20 ; Dropout 0.3 ; Accuracy 97.03703761100769
Length 26 ; Optimizer adamax ; Epochs 20 ; Dropout 0.1 ; Accuracy 97.03703761100769
Length 26 ; Optimizer adamax ; Epochs 20 ; Dropout 0.2 ; Accuracy 98.51851880550385
Length 26 ; Optimizer adamax ; Epochs 20 ; Dropout 0.3 ; Accuracy 97.77777791023254
Length 14 ; Optimizer sgd ; Epochs 20 ; Dropout 0.1 ; Accuracy 94.2592591047287
Length 14 ; Optimizer sgd ; Epochs 20 ; Dropout 0.2 ; Accuracy 92.22222208976746
Length 14 ; Optimizer sgd ; Epochs 20 ; Dropout 0.3 ; Accuracy 91.85185194015503
Length 20 ; Optimizer sgd ; Epochs 20 ; Dropout 0.1 ; Accuracy 95.92592597007751
Length 20 ; Optimizer sgd ; Epochs 20 ; Dropout 0.2 ; Accuracy 95.37037014961243
Length 20 ; Optimizer sgd ; Epochs 20 ; Dropout 0.3 ; Accuracy 91.48148119449615
Length 26 ; Optimizer sgd ; Epochs 20 ; Dropout 0.1 ; Accuracy 93.14814805984497
Length 26 ; Optimizer sgd ; Epochs 20 ; Dropout 0.2 ; Accuracy 94.44444537162781
Length 26 ; Optimizer sgd ; Epochs 20 ; Dropout 0.3 ; Accuracy 93.33333253860474
Length 14 ; Optimizer adagrad ; Epochs 20 ; Dropout 0.1 ; Accuracy 98.33333373069763
Length 14 ; Optimizer adagrad ; Epochs 20 ; Dropout 0.2 ; Accuracy 97.22222328186035
Length 14 ; Optimizer adagrad ; Epochs 20 ; Dropout 0.3 ; Accuracy 96.48148119449615
Length 20 ; Optimizer adagrad ; Epochs 20 ; Dropout 0.1 ; Accuracy 97.59259283542633
Length 20 ; Optimizer adagrad ; Epochs 20 ; Dropout 0.2 ; Accuracy 97.96296417713165
Length 20 ; Optimizer adagrad ; Epochs 20 ; Dropout 0.3 ; Accuracy 97.03703761100769
Length 26 ; Optimizer adagrad ; Epochs 20 ; Dropout 0.1 ; Accuracy 97.77777850627899
Length 26 ; Optimizer adagrad ; Epochs 20 ; Dropout 0.2 ; Accuracy 97.59259283542633
Length 26 ; Optimizer adagrad ; Epochs 20 ; Dropout 0.3 ; Accuracy 97.40740776062012
